,id,id_num,time,current,cap(mAh),cap(microAh),en(mWh),en(microWh),Date/Time
0,1,CC_Chg,20.2247,82.4165,82416534.6667,227598.7046,3.8802,4.2001,
1,,1,0:00:00.000,9.9875,0.0,0.0,0.0,0.0,07/31/2018 13:15:29
2,,2,0:00:05.000,10.0049,0.0139,13893.6944,0.0534,53419.4167,07/31/2018 13:15:34
3,,3,0:00:10.000,10.0049,0.0278,27788.5,0.1067,106708.1944,07/31/2018 13:15:39
4,,4,0:00:15.000,10.0049,0.0417,41683.3611,0.16,160022.4722,07/31/2018 13:15:44
5,,5,0:00:20.000,10.0049,0.0556,55578.3611,0.2133,213306.3056,07/31/2018 13:15:49
6,,6,0:00:25.000,10.0024,0.0695,69473.0833,0.2665,266530.6667,07/31/2018 13:15:54
7,,7,0:00:30.000,10.0049,0.0834,83368.0,0.3197,319724.6111,07/31/2018 13:15:59
8,,8,0:00:35.000,10.0049,0.0973,97263.0833,0.3729,372888.9167,07/31/2018 13:16:04
9,,9,0:00:40.000,10.0024,0.1112,111158.0,0.426,426036.6944,07/31/2018 13:16:09
10,,10,0:00:45.000,10.0024,0.1251,125053.3611,0.4792,479189.0556,07/31/2018 13:16:14
11,,11,0:00:50.000,10.0049,0.1389,138948.7778,0.5323,532344.6944,07/31/2018 13:16:19
12,,12,0:00:55.000,10.0049,0.1528,152844.1111,0.5855,585513.7222,07/31/2018 13:16:24
13,,13,0:01:00.000,10.0049,0.1667,166739.3333,0.6387,638705.4444,07/31/2018 13:16:29
14,,14,0:01:05.000,10.0049,0.1806,180634.75,0.6919,691904.9722,07/31/2018 13:16:34
15,,15,0:01:10.000,10.0049,0.1945,194530.1667,0.7451,745123.0278,07/31/2018 13:16:39
16,,16,0:01:15.000,10.0049,0.2084,208425.3056,0.7983,798340.0278,07/31/2018 13:16:44
17,,17,0:01:20.000,10.0049,0.2223,222320.7778,0.8516,851558.3611,07/31/2018 13:16:49
18,,18,0:01:25.000,10.0049,0.2362,236216.1944,0.9048,904776.4167,07/31/2018 13:16:54
19,,19,0:01:30.000,10.0049,0.2501,250111.6944,0.958,957994.7222,07/31/2018 13:16:59
20,,20,0:01:35.000,10.0049,0.264,264006.8889,1.0112,1011213.0278,07/31/2018 13:17:04
21,,21,0:01:40.000,10.0049,0.2779,277902.1111,1.0644,1064431.3611,07/31/2018 13:17:09
22,,22,0:01:45.000,10.0049,0.2918,291797.3889,1.1176,1117648.8889,07/31/2018 13:17:14
23,,23,0:01:50.000,10.0049,0.3057,305692.1111,1.1709,1170864.2778,07/31/2018 13:17:19
24,,24,0:01:55.000,10.0049,0.3196,319587.25,1.2241,1224088.1389,07/31/2018 13:17:24
25,,25,0:02:00.000,10.0024,0.3335,333482.5278,1.2773,1277327.3056,07/31/2018 13:17:29
26,,26,0:02:05.000,10.0049,0.3474,347377.8611,1.3306,1330571.5,07/31/2018 13:17:34
27,,27,0:02:10.000,10.0049,0.3613,361273.2778,1.3838,1383817.5278,07/31/2018 13:17:39
28,,28,0:02:15.000,10.0024,0.3752,375168.6389,1.4371,1437068.5833,07/31/2018 13:17:44
29,,29,0:02:20.000,10.0049,0.3891,389064.0556,1.4903,1490332.5833,07/31/2018 13:17:49
30,,30,0:02:25.000,10.0049,0.403,402959.25,1.5436,1543602.6389,07/31/2018 13:17:54
31,,31,0:02:30.000,10.0049,0.4169,416854.6111,1.5969,1596876.7222,07/31/2018 13:17:59
